Comuna,Año,Fallecidos
Alhué,2020,6.0
Alhué,2021,8.0
Alhué,2022,8.0
Buin,2020,158.0
Buin,2021,132.0
Buin,2022,51.0
Calera De Tango,2020,20.0
Calera De Tango,2021,38.0
Calera De Tango,2022,11.0
Cerrillos,2020,126.0
Cerrillos,2021,130.0
Cerrillos,2022,52.0
Cerro Navia,2020,424.0
Cerro Navia,2021,349.0
Cerro Navia,2022,116.0
Colina,2020,193.0
Colina,2021,162.0
Colina,2022,57.0
Conchalí,2020,371.0
Conchalí,2021,289.0
Conchalí,2022,106.0
Curacaví,2020,29.0
Curacaví,2021,51.0
Curacaví,2022,16.0
El Bosque,2020,341.0
El Bosque,2021,313.0
El Bosque,2022,91.0
El Monte,2020,67.0
El Monte,2021,53.0
El Monte,2022,19.0
Estación Central,2020,268.0
Estación Central,2021,235.0
Estación Central,2022,82.0
Huechuraba,2020,215.0
Huechuraba,2021,195.0
Huechuraba,2022,62.0
Independencia,2020,410.0
Independencia,2021,204.0
Independencia,2022,93.0
Isla De Maipo,2020,42.0
Isla De Maipo,2021,48.0
Isla De Maipo,2022,24.0
La Cisterna,2020,208.0
La Cisterna,2021,207.0
La Cisterna,2022,90.0
La Florida,2020,733.0
La Florida,2021,641.0
La Florida,2022,284.0
La Granja,2020,313.0
La Granja,2021,247.0
La Granja,2022,86.0
La Pintana,2020,503.0
La Pintana,2021,330.0
La Pintana,2022,68.0
La Reina,2020,137.0
La Reina,2021,132.0
La Reina,2022,78.0
Lampa,2020,113.0
Lampa,2021,166.0
Lampa,2022,50.0
Las Condes,2020,480.0
Las Condes,2021,319.0
Las Condes,2022,179.0
Lo Barnechea,2020,113.0
Lo Barnechea,2021,87.0
Lo Barnechea,2022,39.0
Lo Espejo,2020,271.0
Lo Espejo,2021,235.0
Lo Espejo,2022,84.0
Lo Prado,2020,217.0
Lo Prado,2021,200.0
Lo Prado,2022,71.0
Macul,2020,210.0
Macul,2021,190.0
Macul,2022,91.0
Maipú,2020,949.0
Maipú,2021,832.0
Maipú,2022,255.0
Maria Pinto,2020,12.0
Maria Pinto,2021,16.0
Maria Pinto,2022,6.0
Melipilla,2020,176.0
Melipilla,2021,247.0
Melipilla,2022,83.0
Padre Hurtado,2020,96.0
Padre Hurtado,2021,94.0
Padre Hurtado,2022,42.0
Paine,2020,89.0
Paine,2021,81.0
Paine,2022,37.0
Pedro Aguirre Cerda,2020,318.0
Pedro Aguirre Cerda,2021,253.0
Pedro Aguirre Cerda,2022,73.0
Penaflor,2020,177.0
Penaflor,2021,155.0
Penaflor,2022,56.0
Peñalolén,2020,475.0
Peñalolén,2021,426.0
Peñalolén,2022,139.0
Pirque,2020,45.0
Pirque,2021,40.0
Pirque,2022,17.0
Providencia,2020,270.0
Providencia,2021,225.0
Providencia,2022,131.0
Pudahuel,2020,359.0
Pudahuel,2021,305.0
Pudahuel,2022,135.0
Puente Alto,2020,1057.0
Puente Alto,2021,924.0
Puente Alto,2022,305.0
Quilicura,2020,269.0
Quilicura,2021,239.0
Quilicura,2022,84.0
Quinta Normal,2020,273.0
Quinta Normal,2021,234.0
Quinta Normal,2022,98.0
Recoleta,2020,487.0
Recoleta,2021,285.0
Recoleta,2022,111.0
Renca,2020,305.0
Renca,2021,286.0
Renca,2022,80.0
San Bernardo,2020,531.0
San Bernardo,2021,560.0
San Bernardo,2022,169.0
San Joaquín,2020,229.0
San Joaquín,2021,212.0
San Joaquín,2022,61.0
San José de Maipo,2020,34.0
San José de Maipo,2021,59.0
San José de Maipo,2022,25.0
San Miguel,2020,301.0
San Miguel,2021,277.0
San Miguel,2022,108.0
San Pedro,2020,5.0
San Pedro,2021,12.0
San Pedro,2022,5.0
San Ramón,2020,324.0
San Ramón,2021,259.0
San Ramón,2022,60.0
Santiago,2020,542.0
Santiago,2021,416.0
Santiago,2022,161.0
Talagante,2020,107.0
Talagante,2021,120.0
Talagante,2022,54.0
Tiltil,2020,19.0
Tiltil,2021,30.0
Tiltil,2022,10.0
Vitacura,2020,102.0
Vitacura,2021,73.0
Vitacura,2022,59.0
Ñuñoa,2020,419.0
Ñuñoa,2021,258.0
Ñuñoa,2022,154.0
