Comuna,Año,Transacciones
Cerrillos,2020,1616394.0
Cerro Navia,2020,1186714.0
Conchalí,2020,1641957.0
El Bosque,2020,926224.0
Estación Central,2020,5460067.0
Huechuraba,2020,776352.0
Independencia,2020,1503482.0
La Cisterna,2020,4298804.0
La Florida,2020,5380051.0
La Granja,2020,686554.0
La Pintana,2020,667068.0
La Reina,2020,1671450.0
Las Condes,2020,7538233.0
Lo Barnechea,2020,652974.0
Lo Espejo,2020,747245.0
Lo Prado,2020,5048928.0
Macul,2020,1376346.0
Maipú,2020,4424079.0
Pedro Aguirre Cerda,2020,1466746.0
Peñalolén,2020,2333892.0
Providencia,2020,7664249.0
Pudahuel,2020,3060444.0
Puente Alto,2020,5969535.0
Quilicura,2020,2984959.0
Quinta Normal,2020,1642372.0
Recoleta,2020,4026616.0
Renca,2020,1218677.0
San Bernardo,2020,1629212.0
San Joaquín,2020,927591.0
San Miguel,2020,2223503.0
San Ramón,2020,1037693.0
Santiago,2020,15278353.0
Vitacura,2020,1018826.0
Ñuñoa,2020,4777703.0
